53D9B7DD-4CFC-4E92-BEB6-014113234425	魂のフリーライブツアー		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
C2FAC95F-11C2-4B98-A10C-2BB5C184F10B	Lemino presents ANIMAX MUSIX 2024 SPRING		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
4DA8B8AC-460C-44CC-8787-2C0B5DA77BF7	Lemino presents ANIMAX MUSIX 2024 FALL		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
4A87AF27-C323-4DC1-81EE-33C3FF39DE2F	大橋彩香 4th Family Meeting！ ～あけおめ！ことよろ！新年会だって、急げ～！！～		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
0831B7A5-0DBF-4D21-B51F-4A8649F01D4E	大橋彩香クリスマスイベント？ ～少し早いですが、あやかとメリークリスマス～		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
55BFF10A-CB95-4A81-BFEF-500788A29B80	としまビールフェス アニソンフェス		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
683E1625-832F-4DBA-B89D-57ADC8FA0DA1	4thアルバム「Reflection」リリースイベント		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
B841FA55-E684-42F9-B7C6-5D2110F60A63	10th Anniversary Live		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
CA0CFBC0-4574-4428-A4D7-6089D98CCEC4	大橋彩香 2nd Fan Meeting in Koreaトーク&ミニライブ		2025-02-04 01:04:55.163	2025-02-04 01:04:55.163
C4161B6D-14C2-475B-B22E-894B5678F583	変革Delight/美味しいセレナーデNEMOアルバム発売記念イベント		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
D5D4B5C6-3C02-4709-883F-9BBFF4B6A86D	『政宗くんのリベンジR』スペシャルイベント		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
AE2E6E9A-5FD4-4035-A2C3-A9C0CF1D8F56	ANISAMA WORLD 2024 in Shanghai		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
BD39F415-2B09-492E-8A67-B1428F4354E8	俺の彩香 ～ツアーの思い出と共に、歌声と素敵なピアノを添えて～		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
AD4A989F-4E6D-4117-B3E6-BB9BEB6805BA	Animelo Summer Live 2024 -Stargazer-		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
D2EEC29C-DED0-4A2E-BAB9-D0983D2557D9	Ayaka Ohashi AsiaTour「Reflection」		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
5E0422D2-F30A-4EC9-BD85-DC3318F06EC9	大橋彩香クリスマスイベント？ ～あれ？もう1月？？忘れん坊のあやタクロース～		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
B3FC5748-A305-493C-AE7A-DF5AEE5FC52B	AFA Indonesia 2024 Day2 I LOVE ANISONG		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
1C7F92E1-0E2D-481D-AE46-FF58850DCC29	大橋彩香 3rd Family Meeting！～いい笑顔の日に、あやかと一緒に笑いませんか？～		2025-02-03 23:19:00.263	2025-02-03 23:19:00.263
